Location	,Supplier Name,Invoice No,Invoice Date,Product Name,Unit,Unit Price,Quantities,Discount	,Subtotal	,Tax,Total,Upload Time
SINGAPORE,PENG WANG FISH PRODUCT,OINV24307,23-04-2021,XL COOKED FISH BALL,PCS,0.14,50,$0.00,0.0,2.1,32.1,2021-12-22 10:23:08
,,,, FRIED FISH BALL, FCS, 0.14, 100,,,,,
,,,, LARGE FISH CAKE, KG, 4.0, 2,,,,,
Singapore,DKSH Marketing Services Pte Ltd,1574184962,26.04.2021,HEINZ FS CHILLI CRYOVAC POUCH 3.23KG,EA,8.00,3,$0.00,103.2,7.22,110.42,2021-12-27 17:07:47
,,,, KRAFT EXTRA HEAVY MAYO AXIGAL, EA, 13.20, 6,,,,,
Singapore,Lek Lim Nonya Cake Trading Pte. Ltd.,13/I/-202104-01219,27/04/2021,Soon Kueh,pc,  1      ,10,$0.00,12.3,0.87,13.17,2021-12-27 17:08:08
,,,, Kueh Lapis, pc, NaN, 10,,,,,
SINGAPORE,FoodPride Division of ANGLISS  SINGAPORE PTE LTD,21SI-FPO31167,22-Apr-2021, CHK FILLET MARINATED BAJA 6PKTXZKG MB Halal ,PKT,11.200,18.000,$0.00,201.6,14.11,215.71,2021-12-27 17:08:39
SINGAPORE,FoodPride Division of ANGLISS  SINGAPORE PTE LTD,21SI-FPO31684,27-Apr-2021, CHK FILLET MARINATED BAJA 6PKTXZKG MB Halal ,PKT,11.200,12.000,$0.00,134.4,9.41,143.81,2021-12-27 17:09:09
Singapore,GOURMET PARTNER (S) PTE LTD,21SIL-GM046165,23-Apr-2021, OCTOPUS mb TENTACLES COOKED loo 150GM Me SEAngoB 0SE 3 KGM 3 000 KGM X 2 PKT ,KGM,56.000,3.000,$0.00,168.0,11.76,179.76,2021-12-27 17:09:41
Singapore,GOURMET PARTNER (S) PTE LTD,21SOL-GM049943,26-Apr-2021, BF PREMIUM S OX 6 Bahw 1 NO Halal ,TIN,38.000,5.188,$0.00,225.15,15.76,240.91,2021-12-27 17:10:12
,,,,  POMACE OLIVE OIL SLTRXA SANTAGATAEITA , KGM, 28.000, 1.000,,,,,
Singapore,GOURMET PARTNER (S) PTE LTD,21S1L-GM046352,27-Apr-2021, POMACE OLIVE OIL SLTRX4 SANTAGATA ITA Halal ,TIN,28.000,5.000,$0.00,140.0,9.8,149.8,2021-12-27 17:10:40
,,,, POMACE OLIVE OIL SLTRX4 SANTAGATA ITA Halal ,TIN,28.000,5.000,,,,,
