Location,Supplier Name,Invoice No,Invoice Date,Product Name,Unit,Unit Price,Quantities,Discount,Subtotal,Tax,Total,Upload Time
SINGAPORE,PENG WANG FISH PRODUCT,OINV24307,23-04-2021,"['XL COOKED FISH BALL', 'FRIED FISH BALL', 'LARGE FISH CAKE']","['PCS', 'FCS', 'KG']","[0.14, 0.14, 4.0]","['50', '100', '2']",$0.00,0.00,2.10,32.10,2021-12-22 10:23:08
Singapore,DKSH Marketing Services Pte Ltd,1574184962,26.04.2021,"['HEINZ FS CHILLI CRYOVAC POUCH 3.23KG', 'KRAFT EXTRA HEAVY MAYO AXIGAL']","['EA', 'EA']","['8.00', '13.20']","['3', '6']",$0.00,103.2,7.22,110.42,2021-12-27 17:07:47
Singapore,Lek Lim Nonya Cake Trading Pte. Ltd.,13/I/-202104-01219,27/04/2021,"['Soon Kueh', 'Kueh Lapis']","['pc', 'pc']","['  1      ', 'NaN']","['10', '10']",$0.00,12.3,0.87,13.17,2021-12-27 17:08:08
SINGAPORE,FoodPride Division of ANGLISS  SINGAPORE PTE LTD,21SI-FPO31167,22-Apr-2021,[' CHK FILLET MARINATED BAJA 6PKTXZKG MB Halal '],['PKT'],['11.200'],['18.000'],$0.00,201.60000000000002,14.11,215.71,2021-12-27 17:08:39
SINGAPORE,FoodPride Division of ANGLISS  SINGAPORE PTE LTD,21SI-FPO31684,27-Apr-2021,[' CHK FILLET MARINATED BAJA 6PKTXZKG MB Halal '],['PKT'],['11.200'],['12.000'],$0.00,134.4,9.41,143.81,2021-12-27 17:09:09
Singapore,GOURMET PARTNER (S) PTE LTD,21SIL-GM046165,23-Apr-2021,[' OCTOPUS mb TENTACLES COOKED loo 150GM Me SEAngoB 0SE 3 KGM 3 000 KGM X 2 PKT '],['KGM'],['56.000'],['3.000'],$0.00,168.0,11.76,179.76,2021-12-27 17:09:41
Singapore,GOURMET PARTNER (S) PTE LTD,21SOL-GM049943,26-Apr-2021,"[' BF PREMIUM S OX 6 Bahw 1 NO Halal ', ' POMACE OLIVE OIL SLTRXA SANTAGATAEITA ']","['TIN', 'KGM']","['38.000', '28.000']","['5.188', '1.000']",$0.00,225.15,15.76,240.91,2021-12-27 17:10:12
Singapore,GOURMET PARTNER (S) PTE LTD,21S1L-GM046352,27-Apr-2021,[' POMACE OLIVE OIL SLTRX4 SANTAGATA ITA Halal '],['TIN'],['28.000'],['5.000'],$0.00,140.0,9.8,149.8,2021-12-27 17:10:40
Singapore,GOURMET PARTNER (S) PTE LTD,21S1L-GM046352,27-Apr-2021,[' POMACE OLIVE OIL SLTRX4 SANTAGATA ITA Halal '],['TIN'],['28.000'],['5.000'],$0.00,140.0,9.8,149.8,2021-12-28 18:31:38
Singapore,GOURMET PARTNER (S) PTE LTD,21SIL-GM04 6701,27-Apr-2021,[' FRESH MORELS 1 SKG BORDE CHN '],['BOX'],['142.500'],['NaN'],$0.00,143.48,9.0,152.48,2021-12-29 16:46:55
